veseliti se,to be happy
rijetko,rarely
Stanoviti,decisive
Odgovor,answer
Nastavak,continuation
Dobro došao,welcome
Koji,which/who
Zastrašujuć,scary
Kebanica,coat
novčanik,wallet
kolica,cart
putovnica,passport
letjeti,to fly
Općenito,generally
Nada,hope
Nabijeti,to charge/load
Uzbudljiv,exciting
bilo koji,any
nijedan,none
istraživati,to explore
reportaža,report
očuvan,preserved
podrijetlo,origin
dojam,impression
pusa,kiss
rukovati se,to shake hands
sranje,mess/crap
sljedeće,next
Ranu,early
slino,spit/saliva
sutra,tomorrow
jučer,yesterday
Osobe,people
Zadni,last
Prošli,last/past
promet,traffic
unatoč/usprkos,despite
jezero,lake
put,road
teško,hard/difficult
odoljeti,to resist
poklon,gift
ispričati,to apologize
pokloniti,to give a gift
ružan,complicated/ugly
nasuprot,opposite
dvorište,yard
days of the week,dani u tjednu
ulazne,entrance
čuditi se,to wonder
Želja,wish
Toliko,so much
Slaviti,to celebrate
Pridjev,adjective
Nositi,to wear
Težak,heavy
Rano,early
Vjera,faith
Opasan,dangerous
Okoliš,environment
Politička,political
Nego,but
već,already
oduševljeni,excited
bolesna,sick
Tjestenina,pasta
Sporo,slow
Bolesntan-bolesan,ill/sick
Izlet,excursion
Dio,part
Fakultet,college/university
Brat braća,brother brothers
Razina,level
Čestitat,to congratulate
Anje ing,suffix
koža,skin
Zajebavati,to tease
Kod,code
Smeće smećar,trash garbage man
Preparkirati,to repark
Svietlo,light
Kasno,late
Pa equals tako da,therefore
Stoga/dakle,therefore
Mogućnost,opportunity/possibility/potentiality
Obrada,processing/adaption/cultivation/tillage
Skinuti,to take down/remove
Propuh,draft
Položaj,position
Obzira-bez obzira,consideration-no matter
Zvono,bell
Oženjen,married
Oprez,caution
Janje,lamb
Crijevna viroza,intestinal virus
Žgaravica,heartburn
Natjerati,to force someone to do something
Bazen,pool
Poučavati,to instruct/teach
Utrljati,to rub in
Priuštiti/priušćivati,to afford
Dužnost,duty
Odvjetnik,Lawyer
Zvuk,Sound
Divan,Wonderful
Pratiti,To Follow
Jug,South
Sjeverno,North
Zapad,West
Istok,East
Duboko,Deep
Rupa,Hole
Rudnik,Mine
Ovdje,Here
Olovka,Pencil
Ulica,Street
Računalo,Computer
Kuća,House
Pitanje,Question
Htjeti,To Want
Domaća zadaća,Homework
Smijem li? Neč,Can I? Yes/No
Ovisi,It depends
Prijatelj,Friend
Djed-baka,Grandfather-Grandmother
Gdje,Where
Ljubav,Love
Čitati,To read
Pisati,To write
Plivati,To swim
Probuditi se,To wake up
Voljeti,To love
Vidjeti,To see
Gledati,To watch
Moći,Can/To be able to
Stablo,Tree
Pismo,Letter
Ovo,This
Sve,Everything
Isto kao,Same as
Prije,Before
Poslije,After
Stopalo,Foot
Koristiti,To use
Putovati,To travel
Još,Still/Yet
Nigdje negdje,Nowhere somewhere
Godina,Year
Igrati,To play
Ne dolazi u obzir,Out of the question
Obično,Usually
Ponavljati,To repeat
Doručkovati,To have breakfast
Stvar,Thing
Jesti,To eat
Piti,To drink
Koje me,Which one
Poslati,To send
Poruku,Message
Čekati,To wait
Pred,In front of
Ispred,In front of
Svaki,Every
Trebati,To need
Punjač,Charger
Puniti,To charge
Ogledalo,Mirror
Tepih,Carpet
Džep,Pocket
Nad,Above
Pod,Under/foor
Lako,Easy
Život,Life
Zvati se,To be called
Putnik,Traveler
Također,Also
Samo,Only
Razumjeti,To understand
Gotovina,Cash
Gotova,Ready
To,That
Stan,Apartment
Opet,Again
Jadran,Adriatic
Stanovnik,Inhabitant
Smisao,Meaning
Sir,Cheese
Uvijek,Always
Neki,Some
Tako,So
Ako,If
Uživati,To enjoy
Zadovoljan se,To be satisfied
Pokušati,To try
Odlaziti,To leave
Ljeto,Summer
Zima,Winter
Sad,Now
Jesen,Autumn
Proljeće,Spring
Tamo,There
Istinit,True
Mjesto,Place
Radovati se,To look forward to
Izaći,To go out
Borovak,Blueberry
Blizu,Near
Ugodan,Pleasant
Čija,Whose
Uho,Ear
Sunjati,To sneak
Zaboraviti,To forget
Previse,Too much
Mnogo,Many
Dogovoriti,To agree
Naći,To find
Dno,Bottom
Vrh,Top
Dobiti,To get
Zajednički,Common
Neugodne,Unpleasant
Oštar,Sharp
Dugačak,Long
Zli,Evil
Loše,Bad
Drugi,Other
Kazati,To say
Dok,While
Odakle,Where from
Oko,Around
Sjetiti/sjećati se,To remember
Riječ,Word
Sretan,Happy
Neke,Some
Tjedan,Week
Vjenčanje,Wedding
Svadba,Wedding reception
Koliko,How much/many
Tisuća,Thousand
Daleko,Far
Košarka,Basketball
Redu,Okay
Cesti,Road
Gužva,Crowd
Dolaziti/Doći,To come
Ostali,Others
Razlog,Reason
Stupanj-stupnjevi,Degree-degrees
Vruć,Hot
Znojiti se,To sweat
Kupiti,To buy
Igračke,Toys
Približiti/Približavati,To approach
Brdo,Hill
Voditi,To lead
Možda,Maybe
Napraviti,To make
Pojam,Concept
Predak,Ancestor
Pomoćnica,Assistant
Čudno,Strange
Stati,To stop
Komarac,Mosquito
Ugristi,To bite
Obitelj,Family
Vjerovati,To believe
Goditi,To suit
Događati/Dogoditi,To happen
Dosta/dovoljno,Enough
Seliti se,To move
Vraćati/vratiti se,To return
Sastanak,Meeting
Zatvoriti,To close
Kokos,Coconut
Nećak,Nephew
Domovina,Homeland
Iseljenik,Emigrant
Zaštita,Protection
Prati,To wash
Čistiti,To clean
Ovisjeti,to depend
Poćetnik,beginner
praznik,holiday
Upoznati,to meet/know
Ordinal numbers (Redni brojevi),Ordinal numbers (Redni brojevi)
Primiti (to receive) / primati (to receive),To receive
Duže,longer
kupaonica,bathroom
skoro,almost
Vjerojatno,probably
točan,correct
Topla,warm
Hladan,cold
Kišiti,to rain
Pasti (to fall) / padati (to fall),To fall
Silaziti,to descend
Prodavati,to sell
Trg,square
Trgovina,shop/store
Djelo,work/deed
Bilješke,notes
Milijarda,billion
Miljuna,million
Brojevima,in numbers
dvjesto,two hundred
inače,otherwise
raditi od kuće,to work from home
ured,office
Lito,summer
nisko,low
iza,behind
omiljeni,favorite
Ugao,corner
Taman,dark
orao,eagle
pepeo,ash
Popraviti,to fix
Brisati (to erase) / obrisati (to erase),To erase
Dodati (to add) / dodavati (to add),To add
Sličiti,to resemble
Lice,face
Pokraj,next to
Tko prizna. pola mu se prašta,Who confesses. half is forgiven
lagati (to lie) / lagjem (I lie),To lie
Pridjevi (adjectives),Adjectives
Oba,both
kišovito/kišno,Rainy
Sunčano,sunny
Provjera,check
Ne sviđa mi se,I don't like
imenica,Noun
glagol,Verb
prilog,Adverb
Konja,To ride a horse
voziti,To drive
Povratak,return
Podne,noon
novac,money
Podrum,cellar/basement
tavan,attic
Zanimljivo,interesting
Posebno,special
Društvena,social
Opustiti se (to relax) / opušten (relaxed),To relax / relaxed
Opisati,to describe
ispraviti,to correct
Vjeverica,squirrel
Poziv,call/invitation
Nabildan,muscular
Debeo,fat
Doista,truly
Svjetlost,light
Iznenađen,surprised
Sresti,to meet
zbuniti,to confuse
ode,it goes
evo,here it is
onakvo,like that
zrno,grain
rašte,grow
Polje,field
Riješiti,to solve
ječma,barley
